test_year,stock_name,return
2005,華宇         ,-16.5477
2005,今國光       ,-31.3086
2005,新普         ,78.8981
2005,致茂         ,27.3529
2005,光磊         ,71.088
2005,必翔         ,20.3318
2005,毅嘉         ,30.4294
2005,大田         ,6.015
2005,元太         ,5.8376
2005,華紙         ,46.0217
2005,新保         ,51.0996
2005,泰林         ,29.9683
2005,育富         ,-7.9548
2005,群聯         ,182.0697
2006,鴻海         ,6.8299
2006,台塑化       ,43.0042
2006,聯電         ,-14.8041
2006,中鋼         ,38.5188
2006,台達電       ,17.0009
2006,日月光       ,6.0419
2006,力晶         ,-25.3651
2006,矽品         ,23.2248
2006,遠傳         ,19.477
2006,南電         ,8.5749
2006,遠東新       ,42.7968
2006,亞泥         ,71.0561
2006,聯詠         ,-8.6396
2006,力成         ,2.5218
2006,台肥         ,32.8709
2006,華新         ,-16.5385
2006,華寶         ,-11.7253
2006,研華         ,-30.3911
2006,威盛         ,-54.7474
2006,原相         ,-43.3889
2006,瑞昱         ,17.1657
2006,健鼎         ,16.4757
2006,廣宇         ,-25.6302
2006,福懋         ,37.2694
2006,凌陽         ,-21.0797
2006,世界         ,5.4398
2006,正新         ,78.1001
2006,裕民         ,110.296
2006,中環         ,-1.31
2006,勝華         ,48.8706
2006,東元         ,1.2337
2006,億光         ,39.876
2006,京元電       ,-32.9722
2006,雅新         ,-100.0
2006,友訊         ,41.9097
2006,精英         ,-37.6123
2006,中保         ,-9.7519
2006,智原         ,-1.5183
2006,建興電       ,-11.9226
2006,微星         ,15.5374
2006,永豐餘       ,-9.8662
2006,統一實       ,-1.9558
2006,潤泰新       ,1.7864
2006,建漢         ,-4.4509
2006,國產         ,-14.0027
2006,新興         ,38.6372
2006,閎暉         ,-1.1668
2006,燁輝         ,-13.206
2006,新日興       ,13.5237
2006,太子         ,-12.931
2006,三陽         ,-20.0196
2006,中橡         ,-17.2212
2006,華通         ,-26.6216
2006,華新科       ,-21.3296
2006,中鼎         ,-17.196
2006,潤泰全       ,23.6105
2006,藍天         ,48.5389
2006,新普         ,58.1058
2006,日勝生       ,-46.9275
2006,中美晶       ,200.7747
2006,威力盟       ,-20.0874
2006,榮化         ,26.2708
2006,創意         ,51.7208
2006,中石化       ,28.5403
2006,環電         ,18.6551
2006,皇翔         ,-30.9658
2006,揚智         ,12.4924
2006,台橡         ,94.0839
2006,合晶         ,172.884
2006,嘉泥         ,0.95745
2006,榮剛         ,7.4868
2006,士紙         ,-42.1053
2006,正隆         ,-13.2092
2006,大成鋼       ,8.167
2006,禾伸堂       ,-5.1404
2006,億豐         ,-100.0
2006,聯成         ,15.1698
2006,國賓         ,-8.8724
2006,美律         ,26.9281
2006,陞泰         ,52.2734
2006,聯華         ,11.674
2006,大聯大       ,136.4328
2006,金像電       ,31.8298
2007,鴻海         ,-61.7854
