證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,prediction_proba,訓練年份,測試年份,使用K值,排名
3024,憶聲         ,200512,9240,20.01,0.854851683090675,1.1702,0.38459,0.094551,0.14141,0.058148,0.051764,0.49563,295.76,224.1,7.58,10.64,11.57,33.71,-13.1934,-1,2005,1.0,2004,2005,1,7
2342,茂矽         ,200512,9240,14.5,0.99424301064405,1.063,0.61571,0.040988,0.06542,0.0011631,0.040034,0.5961,90.11,49.32,14.0,13.38,14473.16,-76.88,305.1034,1,2005,1.0,2004,2005,1,8
4906,正文         ,200512,9321,30.51,0.517845600234051,0.98994,0.44547,0.045709,0.083278,0.048874,0.03831,0.8219,152.92,104.93,5.76,4.01,-43.04,-55.21,60.7342,1,2005,1.0,2004,2005,1,9
1102,亞泥         ,200512,45601,12.48,0.789729858025762,0.58372,1.0314,0.069645,0.126,0.098822,0.2334,0.80919,146.54,111.26,9.57,5.73,-4.08,2.08,81.3301,1,2005,1.0,2004,2005,1,10
2006,東鋼         ,200612,26379,24.9,0.899982796432861,1.2105,0.5811,0.12298,0.20625,0.13156,0.099804,0.67707,142.57,71.74,6.03,8.02,27.51,40.69,79.1968,1,2006,0.6666666666666666,2005,2006,9,1
2356,英業達       ,200612,65923,17.61,0.127266033325133,1.1811,0.15763,0.060269,0.15842,0.01737,0.021937,1.6285,121.71,87.46,14.82,7.02,269.02,74.47,-26.8597,-1,2006,0.6666666666666666,2005,2006,9,2
6116,彩晶         ,200612,37405,6.4,0.607432610401855,0.72727,0.59369,-0.049966,-0.090472,-0.074016,-0.074563,0.81067,87.68,59.85,10.57,5.93,30.57,49.99,92.8125,1,2006,0.6666666666666666,2005,2006,9,3
2606,裕民         ,200612,38138,31.76,0.0236324666582251,1.3345,2.8847,0.17506,0.23679,0.39481,0.51179,0.35264,382.46,376.2,0.0,26.97,-35.21,-19.63,110.296,1,2006,0.6666666666666666,2005,2006,9,4
5522,遠雄         ,200612,38475,44.12,0.232240145961793,2.1596,1.4604,0.10767,0.24503,0.16383,0.16586,1.2757,175.42,20.77,0.74,9.3,96.35,164.29,50.9746,1,2006,0.6666666666666666,2005,2006,9,5
5387,茂德         ,200612,92788,13.18,0.00933251202776941,0.97774,1.4218,0.10192,0.16545,0.27531,0.24093,0.62325,155.88,113.95,5.27,7.27,2717.71,1988.65,-33.9909,-1,2006,0.6666666666666666,2005,2006,9,6
