證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,prediction_proba,訓練年份,測試年份,使用模型,特徵選擇方法,排名
2354,鴻準         ,200412,34948,34.2,0.617390171454084,1.7387,0.40464,0.079748,0.20702,0.052385,0.048183,1.5959,133.53,96.87,11.34,5.01,41.93,17.46,163.7719,1,2004,0.7040850705627066,2003,2004,GradientBoosting,random_forest,1
3222,奇景         ,200412,13557,75.0,0.189179670994735,3.7055,1.3441,0.25159,0.34756,0.1323,0.12604,0.38146,303.83,174.61,6.35,6.08,118.16,126.3,-100.0,-1,2004,0.7040136448304541,2003,2004,GradientBoosting,random_forest,2
2103,台橡         ,200412,8380,7.84,0.17581172827553,0.57478,0.30757,0.079745,0.12647,0.1277,0.074521,0.58593,183.67,118.48,7.62,9.66,141.5,88.67,45.1531,1,2004,0.7035756762429833,2003,2004,GradientBoosting,random_forest,3
2308,台達電       ,200412,88814,33.58,0.386389898592172,1.6075,0.94299,0.10267,0.18559,0.094666,0.11796,0.80756,200.38,173.84,10.04,4.7,24.66,30.08,33.7105,1,2004,0.7035713095125781,2003,2004,GradientBoosting,random_forest,4
1717,長興         ,200412,12665,10.17,0.138648971592595,0.58081,0.25852,0.050677,0.1173,0.077009,0.052953,1.3146,169.04,102.27,5.12,4.2,83.13,52.13,36.2832,1,2004,0.7033427857783129,2003,2004,GradientBoosting,random_forest,5
20042330,台積電       ,200412,1174224,33.05,0.503840081846848,1.9226,2.9829,0.18483,0.23134,0.344,0.35891,0.25164,288.57,244.21,10.21,9.54,72.48,95.38,35.9455,1,2004,0.7032780060688388,2003,2004,GradientBoosting,random_forest,6
3231,緯創         ,200412,14429,8.83,0.0740895768609269,0.53193,0.068238,-0.019863,-0.054268,0.0051398,-0.0070548,1.7321,120.75,64.49,10.78,13.3,74.39,-163.44,174.1789,1,2004,0.7032780060688388,2003,2004,GradientBoosting,random_forest,7
9907,統一實       ,200412,15017,7.35,0.706407227537561,0.66697,0.53886,0.02186,0.046755,0.095949,0.039007,1.1388,64.69,21.6,5.67,15.08,19.36,50.91,-22.585,-1,2004,0.7032780060688388,2003,2004,GradientBoosting,random_forest,8
5371,中光電       ,200412,14841,17.01,0.243573372680951,0.83505,0.15466,0.07517,0.1871,0.05297,0.035352,1.489,152.61,84.93,8.09,8.79,180.33,131.96,77.3075,1,2004,0.7032780060688388,2003,2004,GradientBoosting,random_forest,9
9910,豐泰         ,200412,14585,19.56,0.785070081934006,1.266,0.39732,0.075641,0.10441,0.082114,0.057525,0.38039,185.38,122.25,9.25,16.45,-2.63,-0.91,13.1391,-1,2004,0.7032780060688388,2003,2004,GradientBoosting,random_forest,10
9910,豐泰         ,200512,15662,22.13,0.0610289291925092,1.4132,0.41012,0.068764,0.096241,0.081941,0.049822,0.39959,199.81,132.01,9.65,16.49,19.12,14.8,-6.2811,-1,2005,1.0,2004,2005,NaiveBayes,mutual_info,1
1520,D 復盛       ,200512,30058,34.31,0.576053456321354,1.9275,1.0467,0.088346,0.16441,0.099094,0.091815,0.86099,146.03,85.91,4.24,5.86,-27.24,-33.34,-14.573,-1,2005,1.0,2004,2005,NaiveBayes,mutual_info,2
3260,威剛         ,200512,10929,67.33,0.328689611672229,2.0534,0.22183,0.18505,0.35418,0.049095,0.038597,0.91402,185.91,77.26,11.87,23.88,8.72,57.84,83.6477,1,2005,1.0,2004,2005,NaiveBayes,mutual_info,3
3139,D 台固       ,200512,27752,4.08,0.403843368384066,0.37778,1.7974,0.015192,0.020795,0.079091,0.10184,0.36877,259.08,247.12,33.27,13.47,-48.85,-53.94,64.2157,1,2005,1.0,2004,2005,NaiveBayes,mutual_info,4
8016,矽創         ,200512,8029,61.88,0.542666987436342,2.3448,1.1841,0.22072,0.32945,0.18647,0.16881,0.49261,321.4,251.38,6.75,5.77,42.03,45.59,-2.1655,-1,2005,1.0,2004,2005,NaiveBayes,mutual_info,5
6121,新普         ,200512,9337,38.48,0.497948815018947,1.212,0.3954,0.14069,0.26273,0.11744,0.087197,0.86739,181.57,116.68,6.03,5.74,26.91,41.4,78.8981,1,2005,1.0,2004,2005,NaiveBayes,mutual_info,6
1440,南紡         ,200512,10768,6.43,0.309136426466267,0.45798,0.54863,0.00069464,0.001019,0.0091508,0.0012236,0.46693,141.79,56.54,3.33,14.9,-65.08,-98.54,121.3064,1,2005,1.0,2004,2005,NaiveBayes,mutual_info,7
3062,建漢         ,200512,9954,29.66,0.356508933481046,2.0858,0.57027,0.064533,0.11239,0.073362,0.030727,0.7416,165.72,121.94,9.51,6.62,1.23,28.77,109.0695,1,2005,1.0,2004,2005,NaiveBayes,mutual_info,8
2384,勝華         ,200512,48404,42.43,0.573260383263372,1.6594,0.7004,0.13462,0.24241,0.11316,0.10245,0.80074,162.45,105.38,5.52,6.92,35.51,40.3,-31.1336,-1,2005,1.0,2004,2005,NaiveBayes,mutual_info,9
6147,頎邦         ,200512,14411,39.85,0.393411506367576,2.1717,2.8444,0.15423,0.21426,0.26765,0.28066,0.38924,288.12,244.37,10.73,4.88,33.35,41.31,-39.6236,-1,2005,1.0,2004,2005,NaiveBayes,mutual_info,10
6605,帝寶         ,200612,14848,76.16,0.756875470984622,1.8526,1.529,0.12435,0.1993,0.21564,0.1655,0.60273,101.88,58.54,3.58,5.98,-8.51,-10.5,27.6917,1,2006,0.9999999999999929,2005,2006,NaiveBayes,mutual_info,1
2534,宏盛         ,200612,14015,15.65,0.540878322763043,0.82629,0.79603,0.12373,0.19703,0.20755,0.18981,0.59239,185.16,8.14,0.59,66.78,385.83,284.22,9.5208,1,2006,0.999999999994234,2005,2006,NaiveBayes,mutual_info,2
6176,瑞儀         ,200612,19125,36.33,0.154828770751106,1.1519,0.54763,0.075145,0.1442,0.090682,0.070293,0.91892,196.93,170.34,10.75,2.5,-24.89,-28.25,-12.1663,-1,2006,0.9999999979975485,2005,2006,NaiveBayes,mutual_info,3
2707,晶華         ,200612,21476,226.36,0.618100496094381,5.0113,4.7425,0.14584,0.26909,0.35013,0.2766,0.84511,132.22,129.57,120.84,21.59,-7.76,-7.69,-9.2198,-1,2006,0.9999999976192484,2005,2006,NaiveBayes,mutual_info,4
5483,中美晶       ,200612,17267,59.38,0.82407821336638,2.1928,2.4109,0.12892,0.17927,0.23009,0.19714,0.3906,155.53,94.74,4.12,6.72,432.12,287.28,200.7747,1,2006,0.9999999866574285,2005,2006,NaiveBayes,mutual_info,5
2609,陽明         ,200612,43048,15.62,0.715635404167474,0.83485,0.33333,0.011883,0.026456,0.013368,0.010654,1.2263,136.83,114.48,0.0,24.77,-86.44,-87.41,36.2356,1,2006,0.9999995346442122,2005,2006,NaiveBayes,mutual_info,6
3311,閎暉         ,200612,19887,97.7,0.407730811355982,3.9443,1.8238,0.1564,0.31264,0.17055,0.14531,0.99895,174.87,150.17,10.48,3.95,16.98,5.49,-1.1668,-1,2006,0.9999982864755034,2005,2006,NaiveBayes,mutual_info,7
2006,東鋼         ,200612,26379,24.9,0.899982796432861,1.2105,0.5811,0.12298,0.20625,0.13156,0.099804,0.67707,142.57,71.74,6.03,8.02,27.51,40.69,79.1968,1,2006,0.999997492684659,2005,2006,NaiveBayes,mutual_info,8
3034,聯詠         ,200612,76779,103.13,0.0303852724949177,3.5379,1.7072,0.25985,0.41374,0.202,0.19965,0.59222,222.44,185.85,7.58,4.03,11.14,11.65,-8.6396,-1,2006,0.9999952021442223,2005,2006,NaiveBayes,mutual_info,9
3260,威剛         ,200612,21583,123.65,0.457308720551409,3.3555,0.38609,0.11011,0.30497,0.041048,0.035289,1.7697,139.32,61.02,10.94,19.23,15.23,25.11,-52.2038,-1,2006,0.9999937368333206,2005,2006,NaiveBayes,mutual_info,10
6203,海韻電       ,200712,13650,141.13,0.0681804368270346,6.3773,2.8814,0.26217,0.45539,0.27592,0.20578,0.73699,223.17,186.42,6.11,4.53,126.04,123.11,-83.8093,-1,2007,0.6519952147895228,2006,2007,GradientBoosting,mutual_info,1
8299,群聯         ,200712,22057,126.93,0.961993766916173,2.5705,0.63395,0.17945,0.2791,0.078222,0.068839,0.55534,247.01,166.54,10.94,10.09,37.5,30.18,-62.7905,-1,2007,0.6519939036719856,2006,2007,GradientBoosting,mutual_info,2
2617,台航         ,200712,23660,47.2,0.036114030795356,2.6592,4.9684,0.13425,0.20813,0.40548,0.38868,0.55039,152.47,123.54,0.0,29.54,39.48,44.93,-24.8305,1,2007,0.6519939036719856,2006,2007,GradientBoosting,mutual_info,3
3010,華立         ,200712,13617,49.59,0.581093227578492,1.6867,0.45147,0.097741,0.21829,0.067843,0.061029,1.2334,144.79,94.33,6.66,4.31,21.04,7.76,-62.4723,-1,2007,0.6519899248730581,2006,2007,GradientBoosting,mutual_info,4
2350,環電         ,200712,19640,16.41,0.651997167217003,1.0573,0.25493,0.047954,0.11902,0.035145,0.028689,1.482,135.77,100.32,8.2,4.81,25.04,35.69,-53.0774,-1,2007,0.2574449996980716,2006,2007,GradientBoosting,mutual_info,5
2374,佳能         ,200712,21017,40.32,0.696314463411127,2.1538,0.43594,0.16938,0.28105,0.072861,0.056896,0.65931,146.21,107.35,21.19,13.93,144.22,113.84,-55.0595,-1,2007,0.2574449996980716,2006,2007,GradientBoosting,mutual_info,6
