證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,訓練年份,測試年份,使用模型,特徵選擇方法
2504,國產         ,199812,12968,8.61,0.239932010568717,0.69886,0.984,-0.01445,-0.02153,0.049243,-0.030307,0.48997,167.81,63.18,1.81,3.45,25.24,-133.2,-24.158,-1,1998,1997,1998,LogisticRegression,f_classif
1207,嘉食化       ,199812,12906,27.83,0.886511933076101,2.5721,4.1913,0.0073643,0.017785,-0.052212,0.028974,1.415,109.78,39.69,2.4,4.41,-445.0,34.53,-4.4916,-1,1998,1997,1998,LogisticRegression,f_classif
1310,台苯         ,199812,12731,17.56,0.0286741524641061,1.4346,2.3197,-0.019107,-0.026268,-0.083011,-0.042282,0.37477,182.96,86.84,8.61,8.86,-122.97,-151.2,49.2027,1,1998,1997,1998,LogisticRegression,f_classif
2518,長億         ,199812,12589,10.53,0.167927145682257,0.58794,2.2792,-0.049549,-0.11738,-0.043959,-0.45527,1.3689,164.83,13.58,0.16,4.32,-124.87,-327.02,-33.8082,-1,1998,1997,1998,LogisticRegression,f_classif
2340,光磊         ,199812,12555,41.79,0.978680649641159,1.7355,2.7694,0.088585,0.10928,0.14156,0.17439,0.23364,535.17,396.25,2.49,3.13,8.87,37.12,-5.0012,-1,1998,1997,1998,LogisticRegression,f_classif
2604,立榮         ,199812,12312,20.81,0.500471624154843,1.2134,0.48873,0.014174,0.045222,0.074257,0.018212,2.1906,78.54,75.04,0.0,6.48,75.56,248.9,-25.9491,-1,1998,1997,1998,LogisticRegression,f_classif
2905,三商行       ,199812,12290,16.04,0.471088374541939,1.1565,0.31291,0.032312,0.075018,0.031835,0.020296,1.3217,89.55,30.66,6.07,19.01,-2.78,-45.06,10.7232,1,1998,1997,1998,LogisticRegression,f_classif
8716,尖美         ,199812,12263,31.9,0.0596188675796392,2.861,14.3049,-0.22728,-0.61135,-0.4778,-3.0563,1.6898,139.91,17.39,0.14,2.51,-238.51,-1419.84,-92.2571,-1,1998,1997,1998,LogisticRegression,f_classif
2608,大榮         ,199812,12001,20.4,0.681971904149063,1.5502,2.6221,0.011783,0.015426,0.1174,0.026085,0.3091,155.34,150.94,0.0,6.71,-16.91,-85.8,-52.402,-1,1998,1997,1998,LogisticRegression,f_classif
1520,D 復盛       ,199812,11971,11.86,0.0424311375007417,0.76665,0.41252,0.088939,0.23287,0.14902,0.14058,1.6183,82.23,36.46,2.4,7.63,38.47,5.38,-24.7892,-1,1998,1997,1998,LogisticRegression,f_classif
5307,耀文         ,199812,11639,27.96,0.0714454646006424,1.4215,1.3924,0.077136,0.12581,0.12211,0.12327,0.63095,190.51,157.13,10.42,5.1,96.17,35.68,-39.2704,-1,1998,1997,1998,LogisticRegression,f_classif
1227,佳格         ,199812,11416,18.13,0.521649842464284,1.2643,0.7924,0.13296,0.18266,0.1301,0.11448,0.37377,234.08,136.96,4.65,7.42,10.23,25.6,-47.1594,-1,1998,1997,1998,LogisticRegression,f_classif
9921,巨大         ,199812,11409,20.02,0.096730025780867,1.1122,0.30192,0.060449,0.18216,0.082344,0.049448,2.0134,128.84,76.99,3.11,4.86,195.02,99.31,-41.958,-1,1998,1997,1998,LogisticRegression,f_classif
2362,藍天         ,199812,11316,15.83,0.818148553859625,0.9676,0.55272,0.021674,0.02685,0.00015373,0.015332,0.23882,281.54,152.13,6.28,9.56,-99.85,-84.23,-28.3007,-1,1998,1997,1998,LogisticRegression,f_classif
1806,冠軍         ,199812,11128,39.59,0.817547092079286,3.1471,4.8222,0.02162,0.042765,0.23604,0.063998,0.97802,111.94,62.76,1.46,2.84,114.59,-67.34,-13.3114,-1,1998,1997,1998,LogisticRegression,f_classif
1714,和桐         ,199812,11100,14.44,0.722439592366842,0.87942,0.68664,0.059299,0.080457,0.10391,0.077571,0.35681,251.89,149.74,12.64,5.38,47.16,36.42,-11.8421,-1,1998,1997,1998,LogisticRegression,f_classif
1229,聯華         ,199812,11083,9.59,0.149865442477967,0.70671,1.8585,0.016164,0.021726,0.044815,0.057139,0.34407,141.63,95.95,5.56,5.27,-10.19,-67.45,-19.8123,-1,1998,1997,1998,LogisticRegression,f_classif
2006,東鋼         ,199812,10949,7.57,0.659605252908307,0.4773,0.39717,-0.0053444,-0.011302,0.049068,-0.0094039,1.1147,138.93,57.59,4.63,8.96,-23.1,-136.55,-0.9247,-1,1998,1997,1998,LogisticRegression,f_classif
2102,泰豐         ,199812,10923,26.88,0.518594942510538,2.0395,1.8348,0.094047,0.15343,-0.0082076,0.13804,0.63148,108.57,80.25,8.21,5.72,-270.16,117.41,-35.1935,-1,1998,1997,1998,LogisticRegression,f_classif
9910,豐泰         ,199812,10824,11.75,0.972974554763863,0.7615,0.28568,0.10948,0.17501,0.03773,0.069865,0.59857,87.76,51.52,15.52,17.73,-27.29,-16.12,-3.5745,-1,1998,1997,1998,LogisticRegression,f_classif
2520,冠德         ,199812,10622,13.88,0.800330575352402,0.69124,0.91557,0.040592,0.12001,0.1279,0.15898,1.9564,157.82,11.81,0.3,65.67,47.45,43.59,-39.4813,-1,1998,1997,1998,LogisticRegression,f_classif
2338,光罩         ,199812,10470,16.05,0.45379770872692,1.0779,2.2606,0.04913,0.090638,0.16142,0.19018,0.84487,377.81,327.13,10.83,3.39,-55.1,-53.6,-23.676,-1,1998,1997,1998,LogisticRegression,f_classif
1319,東陽         ,199812,10119,15.52,0.825313795402046,0.99296,0.84624,0.083943,0.13778,0.041949,0.12189,0.6413,97.93,68.52,10.26,4.01,127.67,359.25,-24.1624,-1,1998,1997,1998,LogisticRegression,f_classif
1710,東聯         ,199812,9988,7.72,0.133171007607162,0.63331,1.0997,0.051888,0.068905,0.12195,0.11959,0.32794,105.85,61.99,9.22,6.75,-33.72,-38.95,9.5855,1,1998,1997,1998,LogisticRegression,f_classif
2360,致茂         ,199812,9849,18.3,0.390937802323736,0.78306,1.3525,0.11544,0.13004,0.18646,0.22455,0.12644,634.12,490.28,3.12,4.75,23.03,33.01,41.9126,1,1998,1997,1998,LogisticRegression,f_classif
2106,建大         ,199812,9818,14.46,0.83137974283907,0.91461,0.64439,0.077474,0.13447,0.13114,0.094758,0.73571,148.67,105.47,4.47,4.55,49.33,42.21,-26.7635,-1,1998,1997,1998,LogisticRegression,f_classif
2104,中橡         ,199812,9711,17.7,0.80336439160244,0.81831,0.63102,0.018682,0.042352,0.061287,0.040643,1.267,120.83,88.78,7.48,4.93,-1.66,-40.7,-9.661,-1,1998,1997,1998,LogisticRegression,f_classif
