證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,prediction_proba,訓練年份,測試年份,使用準則,最大深度,排名
1102,亞泥         ,200612,78495,22.63,0.00141905820240296,0.96012,1.8221,0.067436,0.11621,0.10783,0.22917,0.72326,220.04,176.34,9.57,5.73,20.98,8.19,71.0561,1,2006,1.0,2005,2006,gini,10,8
3034,聯詠         ,200612,76779,103.13,0.0303852724949177,3.5379,1.7072,0.25985,0.41374,0.202,0.19965,0.59222,222.44,185.85,7.58,4.03,11.14,11.65,-8.6396,-1,2006,1.0,2005,2006,gini,10,9
5483,中美晶       ,200612,17267,59.38,0.82407821336638,2.1928,2.4109,0.12892,0.17927,0.23009,0.19714,0.3906,155.53,94.74,4.12,6.72,432.12,287.28,200.7747,1,2006,1.0,2005,2006,gini,10,10
2912,統一超       ,200712,77971,68.45,0.402554392063123,3.8542,0.44121,0.063241,0.19677,0.035578,0.025513,2.1114,85.93,53.91,14.16,64.13,-1.33,-6.13,-4.9233,1,2007,1.0,2006,2007,gini,5,1
2498,宏達電       ,200712,343306,351.44,0.83840576967303,3.592,1.7038,0.31656,0.51504,0.25935,0.24479,0.627,243.87,216.62,11.78,6.11,15.6,14.6,-24.3114,1,2007,1.0,2006,2007,gini,5,2
8076,伍豐         ,200712,31918,198.22,0.483294567734286,6.1905,5.6505,0.35578,0.53614,0.18754,0.49654,0.50692,198.75,148.55,5.15,3.21,13.13,169.3,-70.3663,-1,2007,1.0,2006,2007,gini,5,3
6286,立錡         ,200712,34804,217.38,0.445656211439575,6.5733,4.2598,0.36255,0.45091,0.29408,0.29222,0.24372,462.42,371.47,5.75,8.23,38.81,42.54,-48.1553,1,2007,1.0,2006,2007,gini,5,4
9921,巨大         ,200712,20341,51.37,0.330202242514021,1.8789,0.43501,0.085249,0.23042,0.069595,0.054788,1.7029,142.9,86.97,4.33,5.2,54.11,80.23,9.7722,1,2007,1.0,2006,2007,gini,5,5
2382,廣達         ,200712,160036,36.22,0.683188784699983,1.4345,0.16121,0.056617,0.1947,0.025406,0.023727,2.4389,125.05,88.81,12.36,7.73,87.17,112.9,-15.4887,1,2007,1.0,2006,2007,gini,5,6
2105,正新         ,200712,69059,31.31,0.827209084946655,1.5781,0.63651,0.080885,0.19426,0.11904,0.086882,1.4018,118.37,62.53,5.74,10.97,205.17,199.69,-37.0489,1,2007,1.0,2006,2007,gini,5,7
