證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,PE_ratio,PB_ratio,PS_ratio,ROE,ROA,OPM,NPM,DE_ratio,CR,QR,ITR,RTR,OIG,NIG,profitability_score,liquidity_score,efficiency_score,growth_score,valuation_score,predicted_return,訓練年份,測試年份,使用C參數,使用gamma參數,使用epsilon參數
9933,中鼎         ,199912,9156,8.24,0.393456361215266,0.56516,0.22731,0.080957,0.16571,0.051641,0.066655,1.0469,125.01,72.68,5.7,10.74,-6.35,6.67,-24.6359,1,1999,1.235382123630866,0.56516,0.22731,0.080957,0.16571,0.051641,0.066655,1.0469,125.01,72.68,5.7,10.74,-6.35,6.67,0.09124075000000001,98.845,8.22,0.16000000000000014,0.396235,27.361840912567242,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
1216,統一         ,199912,72520,11.47,0.153656717591307,0.85469,0.59708,0.04126,0.091906,0.016804,0.064224,1.2275,106.38,73.11,7.84,13.4,26.66,-17.52,-1.1334,1,1999,-0.6546804026644066,0.85469,0.59708,0.04126,0.091906,0.016804,0.064224,1.2275,106.38,73.11,7.84,13.4,26.66,-17.52,0.0535485,89.745,10.620000000000001,4.57,0.725885,26.671012188995658,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
2606,裕民         ,199912,8125,3.57,0.687796085120107,0.28514,0.6444,0.0084443,0.018816,0.039024,0.04252,1.2282,175.4,150.47,0.0,16.94,-72.81,38.4,-27.1709,1,1999,0.09296874757893887,0.28514,0.6444,0.0084443,0.018816,0.039024,0.04252,1.2282,175.4,150.47,0.0,16.94,-72.81,38.4,0.027201075,162.935,8.47,-17.205000000000002,0.46477,22.741566505452344,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
2366,亞旭         ,199912,10840,26.39,0.109697464523194,1.4366,0.61515,0.046726,0.081814,0.017446,0.035036,0.75092,153.28,82.1,5.38,6.09,-49.09,81.76,-65.5172,-1,1999,0.3227739686549172,1.4366,0.61515,0.046726,0.081814,0.017446,0.035036,0.75092,153.28,82.1,5.38,6.09,-49.09,81.76,0.04525549999999999,117.69,5.734999999999999,16.335,1.025875,22.283726551030252,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
2386,國電         ,199912,25953,74.22,0.424349039815375,3.2088,1.0092,0.14508,0.26607,0.079648,0.083694,0.83401,184.67,137.25,10.94,5.72,90.64,97.32,-13.9989,1,1999,0.7626387097961498,3.2088,1.0092,0.14508,0.26607,0.079648,0.083694,0.83401,184.67,137.25,10.94,5.72,90.64,97.32,0.143623,160.95999999999998,8.33,93.97999999999999,2.109,20.612261982503092,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
1907,永豐餘       ,199912,13960,6.23,0.607303940685635,0.4763,0.35418,0.033358,0.069334,0.046653,0.051738,1.0785,134.56,90.83,5.7,3.45,462.0,315.73,-20.5457,1,1999,0.019732049473499352,0.4763,0.35418,0.033358,0.069334,0.046653,0.051738,1.0785,134.56,90.83,5.7,3.45,462.0,315.73,0.05027075,112.695,4.575,388.865,0.41524,20.376365668904867,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
9908,大台北       ,199912,5815,6.76,0.495005824990221,0.53693,1.3203,0.043065,0.067525,0.027654,0.16609,0.56798,248.58,215.06,10.46,8.06,309.17,-14.95,10.9467,1,1999,-0.45217394328922694,0.53693,1.3203,0.043065,0.067525,0.027654,0.16609,0.56798,248.58,215.06,10.46,8.06,309.17,-14.95,0.0760835,231.82,9.260000000000002,147.11,0.928615,18.15164271777979,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
3037,欣興         ,199912,10827,17.45,0.404579995857626,1.0947,0.7286,0.04178,0.092352,0.061225,0.061454,1.2104,214.53,170.18,15.31,4.03,19.45,35.14,4.5272,1,1999,0.49658507408693586,1.0947,0.7286,0.04178,0.092352,0.061225,0.061454,1.2104,214.53,170.18,15.31,4.03,19.45,35.14,0.06420275,192.35500000000002,9.67,27.295,0.9116500000000001,17.996603260908028,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
2332,友訊         ,199912,20731,22.93,0.0357627332691179,1.0606,0.54962,0.061444,0.10685,0.060182,0.055366,0.739,245.32,139.48,3.21,6.71,34.54,32.52,-49.324,-1,1999,0.7051045293633293,1.0606,0.54962,0.061444,0.10685,0.060182,0.055366,0.739,245.32,139.48,3.21,6.71,34.54,32.52,0.07096050000000001,192.39999999999998,4.96,33.53,0.80511,17.73416097267509,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
1504,東元         ,199912,40768,14.95,0.695140499551737,0.74157,0.81783,0.047817,0.08398,0.049,0.092588,0.75628,257.74,168.98,4.23,4.82,-6.31,49.58,-24.5485,1,1999,0.3015328700779978,0.74157,0.81783,0.047817,0.08398,0.049,0.092588,0.75628,257.74,168.98,4.23,4.82,-6.31,49.58,0.06834625,213.36,4.525,21.634999999999998,0.7797,17.702094546779094,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
2336,D 致伸       ,199912,10358,20.39,0.93285357027882,1.3423,0.46499,-0.01639,-0.039785,0.063968,-0.013838,1.4274,170.66,113.95,5.67,4.76,902.21,-210.38,-57.5282,-1,1999,-0.09691985976290456,1.3423,0.46499,-0.01639,-0.039785,0.063968,-0.013838,1.4274,170.66,113.95,5.67,4.76,902.21,-210.38,-0.0015112500000000013,142.305,5.215,345.915,0.903645,17.45456411691263,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
2373,震旦行       ,199912,32059,56.75,0.675332065747,3.6378,1.535,0.061102,0.10966,0.031611,0.049326,0.79465,132.71,80.86,6.79,7.57,24.14,62.38,-55.9648,-1,1999,0.909746699106337,3.6378,1.535,0.061102,0.10966,0.031611,0.049326,0.79465,132.71,80.86,6.79,7.57,24.14,62.38,0.06292475,106.785,7.18,43.260000000000005,2.5864,17.410266157457023,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
2345,智邦         ,199912,24993,42.95,0.770159728608609,1.689,0.95871,0.03992,0.079444,0.034081,0.045088,0.9901,213.93,120.95,4.2,5.39,285.09,241.6,-64.6333,-1,1999,0.17777317807213092,1.689,0.95871,0.03992,0.079444,0.034081,0.045088,0.9901,213.93,120.95,4.2,5.39,285.09,241.6,0.049633250000000004,167.44,4.795,263.34499999999997,1.323855,17.349909028099805,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
5353,台林         ,199912,6620,58.18,0.989872153631504,2.8902,2.7162,0.10667,0.13337,0.094918,0.12538,0.25026,381.34,181.12,2.08,6.57,-4.69,34.32,-75.2836,-1,1999,1.6952213958268825,2.8902,2.7162,0.10667,0.13337,0.094918,0.12538,0.25026,381.34,181.12,2.08,6.57,-4.69,34.32,0.11508449999999999,281.23,4.325,14.815,2.8032000000000004,17.260104472113476,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
2379,瑞昱         ,199912,20386,36.36,0.47348599296532,1.7405,1.7175,0.19286,0.2346,0.24561,0.23154,0.21641,218.8,189.88,9.74,5.76,62.58,67.56,-3.3828,1,1999,0.5381882691209552,1.7405,1.7175,0.19286,0.2346,0.24561,0.23154,0.21641,218.8,189.88,9.74,5.76,62.58,67.56,0.2261525,204.34,7.75,65.07,1.729,16.99731529541842,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
