證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,PE_ratio,PB_ratio,PS_ratio,ROE,ROA,OPM,NPM,DE_ratio,CR,QR,ITR,RTR,OIG,NIG,profitability_score,liquidity_score,efficiency_score,growth_score,valuation_score,predicted_return,訓練年份,測試年份,使用C參數,使用gamma參數,使用epsilon參數,排名
2340,光磊         ,199912,11971,39.7,0.939829470344921,2.0742,3.0728,0.041889,0.054552,0.0984,0.080775,0.30232,329.1,242.69,2.54,2.79,-21.01,-47.37,-59.8237,-1,1999,-0.8380831926975553,2.0742,3.0728,0.041889,0.054552,0.0984,0.080775,0.30232,329.1,242.69,2.54,2.79,-21.01,-47.37,0.06890399999999999,285.895,2.665,-34.19,2.5735,89.887642927802,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,1
1905,華紙         ,199912,11095,13.5,0.522495305777102,1.0706,1.2374,0.0757,0.10878,0.092408,0.12576,0.43695,324.23,164.11,5.2,5.72,282.25,294.67,-47.3333,-1,1999,0.04581396122505188,1.0706,1.2374,0.0757,0.10878,0.092408,0.12576,0.43695,324.23,164.11,5.2,5.72,282.25,294.67,0.100662,244.17000000000002,5.46,288.46000000000004,1.154,68.93146997988583,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,2
1216,統一         ,199912,72520,11.47,0.153656717591307,0.85469,0.59708,0.04126,0.091906,0.016804,0.064224,1.2275,106.38,73.11,7.84,13.4,26.66,-17.52,-1.1334,1,1999,-0.6546804026644066,0.85469,0.59708,0.04126,0.091906,0.016804,0.064224,1.2275,106.38,73.11,7.84,13.4,26.66,-17.52,0.0535485,89.745,10.620000000000001,4.57,0.725885,68.51502217211467,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,3
2430,燦坤         ,199912,6404,14.68,0.825583815786156,0.86201,0.16533,0.042953,0.1123,0.089588,0.032602,1.6145,124.92,72.32,3.95,9.68,23.38,14.02,-43.188,1,1999,1.0470755315923301,0.86201,0.16533,0.042953,0.1123,0.089588,0.032602,1.6145,124.92,72.32,3.95,9.68,23.38,14.02,0.06936075,98.62,6.8149999999999995,18.7,0.5136700000000001,55.21202794356697,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,4
9921,巨大         ,199912,6463,11.62,0.154752348656045,0.68717,0.187,0.058476,0.15221,0.055352,0.041428,1.6029,133.45,86.43,3.48,4.47,-30.72,-13.65,58.864,1,1999,-0.8512821136470412,0.68717,0.187,0.058476,0.15221,0.055352,0.041428,1.6029,133.45,86.43,3.48,4.47,-30.72,-13.65,0.0768665,109.94,3.9749999999999996,-22.185,0.43708499999999995,55.18460729947716,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,5
2359,所羅門       ,199912,11152,38.96,0.721046620579811,1.8858,0.75387,0.0377,0.076956,0.016511,0.030767,1.0413,93.25,61.76,9.57,5.73,18.15,211.56,-61.6273,-1,1999,0.18415579417585654,1.8858,0.75387,0.0377,0.076956,0.016511,0.030767,1.0413,93.25,61.76,9.57,5.73,18.15,211.56,0.0404835,77.505,7.65,114.855,1.3198349999999999,49.68999441502969,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,6
1605,華新         ,199912,58564,12.44,0.637709098072174,0.76179,1.2101,0.027028,0.047364,0.037485,0.082023,0.7524,157.12,111.9,5.2,4.98,406.99,256.7,-24.8392,1,1999,0.04846123861137032,0.76179,1.2101,0.027028,0.047364,0.037485,0.082023,0.7524,157.12,111.9,5.2,4.98,406.99,256.7,0.048475000000000004,134.51,5.09,331.845,0.985945,48.110372772697765,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,7
2366,亞旭         ,199912,10840,26.39,0.109697464523194,1.4366,0.61515,0.046726,0.081814,0.017446,0.035036,0.75092,153.28,82.1,5.38,6.09,-49.09,81.76,-65.5172,-1,1999,0.3227739686549172,1.4366,0.61515,0.046726,0.081814,0.017446,0.035036,0.75092,153.28,82.1,5.38,6.09,-49.09,81.76,0.04525549999999999,117.69,5.734999999999999,16.335,1.025875,46.98720986917692,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,8
1726,永記         ,199912,6861,24.21,0.67126437045174,1.0025,0.67101,0.145,0.18923,0.14564,0.12664,0.30502,339.42,254.43,5.42,4.24,12.78,21.91,-50.8881,-1,1999,1.1049748468747218,1.0025,0.67101,0.145,0.18923,0.14564,0.12664,0.30502,339.42,254.43,5.42,4.24,12.78,21.91,0.1516275,296.925,4.83,17.345,0.8367549999999999,42.271076113256726,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,9
2105,正新         ,199912,20035,7.51,0.341124607049109,0.50881,0.40011,0.053995,0.10723,0.13485,0.084295,0.98598,158.52,88.46,3.8,8.2,29.09,22.1,-13.8482,1,1999,0.339818989148462,0.50881,0.40011,0.053995,0.10723,0.13485,0.084295,0.98598,158.52,88.46,3.8,8.2,29.09,22.1,0.0950925,123.49000000000001,6.0,25.595,0.45446,39.94026656099545,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,10
